record_id,name,name_ar,name_en,district,operator_type,verification_status,confidence,source_id,source_url,retrieved_at
ibb-hospital-osm-node-5638758021,المركز الإستشاري للأمراض الجلدية د/رشاد البعداني,المركز الإستشاري للأمراض الجلدية د/رشاد البعداني,lmrkz lstshry ll'mrD ljldy@,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223237722,مستشفى الثورة العام إب,مستشفى الثورة العام إب,Mustashfa ath Thawrah al Am Ibb,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-5359072621,مستشفى الحمد التخصصي,,mstshf~ lHmd ltkhSSy,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-5359072421,مستشفى النور التخصصي,,mstshf~ lnwr ltkhSSy,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223237742,مستشفى ناصر العام,مستشفى ناصر العام,Mustashfa Nasir al `Amm,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-7334323185,مستوصف الدكتور احمد الزمر,,mstwSf ldktwr Hmd lzmr,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223293818,الوحدة الصحية بالكداكد,الوحدة الصحية بالكداكد,Al Wahdah as Sihhiyah bil Kidakid,Al Makhadir,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1218216809,الوحدة الصحية بالمحفد,الوحدة الصحية بالمحفد,Al Wahdah as Sihhiyah bil Mahfad,Al Makhadir,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1219348030,الوحدة الصحية أنامر أسفل,الوحدة الصحية أنامر أسفل,Al Wahdah as Sihhiyah Anamir Asfal,Al Mashannah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-5056808228,مستشفى المجد,,Almajed Hospital,Al Mashannah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-4315893390,مستشفى المنار,,mstshf~ lmnr,Al Mashannah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-5015696321,مستشفى النصر العام,مستشفى النصر العام,Al Nasr Hospital,Al Mashannah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-4406569393,مستشفى دار الشفاء التخصصي,,mstshf~ dr lshf ltkhSSy,Al Mashannah,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-8818156317,المركز الصحي الضبر,,lmrkz lSHy lDbr,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-8818156217,المركز الصحي بني مسلم,,lmrkz lSHy bny mslm,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223290368,المركز الصحي بني مفتاح,المركز الصحي بني مفتاح,Al Markiz as Sihhiy Bani Muftah,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223293380,المركز الصحي بني مهدي,المركز الصحي بني مهدي,Al Markaz as Sihhiy Bani Mahdi,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-8818156017,الوحدة اصحية اريان,,lwHd@ SHy@ ryn,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-8818170118,الوحدة الصحية النخلة,,lwHd@ lSHy@ lnkhl@,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
ibb-hospital-osm-node-1223290962,الوحدة الصحية الوادعي,الوحدة الصحية الوادعي,Al Wahdah as Sihhiyah al Wadai,Al Qafr,unknown,public_candidate,medium,HDX-HOT-OSM-2026-08,https://data.humdata.org/dataset/hotosm_yem_health_facilities,2026-08-28
