record_id,name,name_ar,name_en,district,ownership_status,verification_status,confidence,source_id,source_url,retrieved_at
ibb-school-osm-node-5015704822,مجمع السعيد التربوي للبنات,مجمع السعيد التربوي للبنات,Al - Saeed Educational Complex for Girls,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-8530136417,مدرسة أروى للبنات,,Arwa Girls School,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-6111334685,مدرسة أسماء للبنات,,mdrs@ 'sm llbnt,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-7236130786,مدرسة الشعب,,alshab school,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-8308649019,مدرسة الشهيد الصباحي,,mdrs@ lshhyd lSbHy,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-4825567322,مدرسة الشهيد الصباحي,,Alshaheed Alsbahi school,Adh Dhihar,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-6327784239,Unnamed school (node/6327784239),,,Al Makhadir,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-6327784395,Unnamed school (node/6327784395),,,Al Makhadir,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-5235489724,مدرسة الشهيد محمد الدرة,,mdrs@ lshhyd mHmd ldr@,Al Mashannah,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
ibb-school-osm-node-14077248618,مدرسة الإمام مسلم,مدرسة الإمام مسلم,Imam Muslim amenity=school,Al Odayn,unknown,public_candidate,medium,HDX-HOT-OSM-EDU-2026-08,https://data.humdata.org/dataset/hotosm_yem_education_facilities,2026-08-28
