sector,markdown_files,source_sections,url_mentions,estimate_signals,word_count,documentation_readiness
أسواق_الجملة,22,0,2,4,5602,needs_claim_review
أسواق_الخضار,22,0,0,1,3694,needs_sources
أسواق_المواشي,22,1,0,5,4918,needs_sources
الأثاث,22,0,0,10,5632,needs_sources
الأحذية,22,0,0,2,4560,needs_sources
الأسمدة,22,0,1,12,5105,needs_claim_review
الأسنان,22,0,1,12,5127,needs_claim_review
الأسواق_العامة,22,0,0,1,4496,needs_sources
الأسواق_الموسمية,22,0,1,3,4410,needs_claim_review
الأعلاف,22,0,1,12,5089,needs_claim_review
الألعاب,22,0,1,12,5086,needs_claim_review
الألمنيوم,22,0,1,12,5103,needs_claim_review
الأندية_الرياضية,22,0,1,12,5139,needs_claim_review
الإذاعات,22,0,1,12,5061,needs_claim_review
الإسعاف,22,0,1,12,5130,needs_claim_review
الإطارات,22,0,1,12,5083,needs_claim_review
الإنتاج_الإعلامي,22,0,1,12,5068,needs_claim_review
الإنترنت,22,21,1,19,8910,needs_claim_review
الاستراحات,22,21,2,23,9361,needs_claim_review
الاستشارات,22,21,1,19,8890,needs_claim_review
البذور,22,21,1,19,8898,needs_claim_review
البصريات,22,21,1,19,8904,needs_claim_review
البطاريات,22,21,1,19,8894,needs_claim_review
البقالات,22,0,0,1,4178,needs_sources
البلاستيك,22,21,1,19,8870,needs_claim_review
البلديات,22,21,1,19,8904,needs_claim_review
البنوك,22,0,0,1,4032,needs_sources
البهارات,22,1,1,5,4634,needs_claim_review
البيطرة,22,21,1,19,8929,needs_claim_review
التأمين,22,1,0,7,5057,needs_sources
التخليص,22,21,1,19,8884,needs_claim_review
التدقيق,22,21,1,19,8909,needs_claim_review
الترجمة,22,21,2,25,13308,needs_claim_review
التسويق_الرقمي,22,21,2,25,13346,needs_claim_review
التصميم,22,21,2,25,13289,needs_claim_review
التصوير,22,21,2,25,13296,needs_claim_review
التطريز,22,21,2,25,13286,needs_claim_review
التكييف,22,21,2,25,13327,needs_claim_review
التمويل_الأصغر,22,0,0,4,4535,needs_sources
التنظيف,22,21,2,25,13329,needs_claim_review
الجامعات,22,0,1,1,4167,needs_claim_review
